0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:13:00 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:13:02 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:13:02 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:13:06 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_member_update.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:13:52 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_member_update.jsp HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:05 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_member_info.jsp?id=hong HTTP/1.1" 500 2862
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:07 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_member_info.jsp?id=hong HTTP/1.1" 500 2862
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:11 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:12 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:18 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:18 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:21 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_member_info.jsp?id=hong HTTP/1.1" 200 3807
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:29 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:30 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_member_info.jsp HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:43 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_member_info.jsp HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:18:52 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_member_update.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:19:02 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_member_update.jsp HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:30:46 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_member_update.jsp HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [15/Feb/2023:17:30:49 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_member_update.jsp HTTP/1.1" 200 160
